name,MW,logP,Hdonor,Hakceptor
DB04381,70.091000,0.761400,0.000000,1.000000
DB02681,660.575000,-4.213500,0.000000,17.000000
DB01703,303.098000,1.823200,0.000000,2.000000
DB00847,77.152000,-0.125100,2.000000,2.000000
DB09067,4670.384000,-19.193660,66.000000,65.000000
DB00326,490.424000,-11.314600,12.000000,16.000000
DB07890,260.251000,2.565800,3.000000,3.000000
DB13145,301.159000,-1.708900,2.000000,5.000000
DB04494,145.953000,-1.235300,2.000000,1.000000
DB03840,365.844000,-0.334500,2.000000,10.000000
DB02576,76.119000,-1.390900,2.000000,1.000000
DB04504,98.149000,0.178300,1.000000,2.000000
DB04337,41.053000,0.535490,0.000000,0.000000
DB00703,236.278000,-1.423800,1.000000,6.000000
DB00531,261.089000,1.884000,1.000000,2.000000
