name,smiles
DB00534,COC(CNC(N)=O)C[Hg]Cl
DB03344,O=P(O)(O)OC1C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O
DB00483,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC.[I-].[I-].[I-]
DB04834,C=CC[N+]1(C2CC3C4CCC5CC(OC(C)=O)C(N6CCCCC6)CC5(C)C4CCC3(C)C2OC(=O)CC)CCCCC1
DB09028,O=c1cccc2n1CC1CNCC2C1
DB03918,CC(O)C(O)C1CNc2[nH]c(=N)nc(O)c2N1
DB00153,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C
DB08088,Cc1c(N=C2OC(C(F)(F)F)C3C(O)CCN23)ccc(C#N)c1Cl
DB00189,C#CC(O)(C=CCl)CC
DB02158,CSCC1NC(c2c[nH]c3c2N=CNC3N)C(O)C1O
DB02885,C=C1C=NC(C(F)(F)F)=NC1=N
DB02994,C[As](C)(=O)O
DB03347,CCOP(=O)(OCC)OCC
DB06267,CCCOc1ccc(S(=O)(=O)NCCC2CCCN2C)cc1-c1nc(=O)c2c([nH]1)c(CCC)nn2C
DB06782,OCC(S)CS
DB07106,CN(C)CCCCSC(=N)N
DB00444,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
DB08906,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)SCF
DB06703,O=C([O-])CN1CCN(CC(=O)[O-])CCN(C(CO)C(O)CO)CCN(CC(=O)[O-])CC1.[Gd+3]
DB04411,Nc1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1
DB01797,NCC1(O)NC(=O)C(O)=[N+]1CC(=O)O
DB02838,O=C([O-])C1=[NH+]CCC1
DB08830,O=C1OC(C(O)CO)C(=O)C1=O
DB07824,CCc1c(C)[nH]n(-c2nnn[nH]2)c1=O
DB07503,O=C1NC(=O)C(=Cc2ccc3c(c2)OC(F)(F)O3)S1
DB03136,NC(=[NH2+])c1cc2c(I)cccc2s1
DB08605,CCCS(=O)(=O)N1N=Cc2sc(C)cc2B1O
DB01583,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-].NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-].[Na+].[Na+]
DB01190,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1
DB06206,O=C(O)CCSCC1OC2OC3C(CSCCC(=O)O)OC(OC4C(CSCCC(=O)O)OC(OC5C(CSCCC(=O)O)OC(OC6C(CSCCC(=O)O)OC(OC7C(CSCCC(=O)O)OC(OC8C(CSCCC(=O)O)OC(OC9C(CSCCC(=O)O)OC(OC1C(O)C2O)C(O)C9O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O
DB05383,NC(N)=N[NH3+].[Cl-]
DB03437,CON=C(C(=O)NC(C=O)C1NC(C(=O)O)C(C)(C)S1)c1csc(N)n1
DB08598,CC(C)=CCN1Cc2cc(Cl)cc3[nH]c(=S)n(c23)CC1C
DB02683,CNC(=O)C(NC(=O)C(OCc1ccc(-c2cccnc2)cc1)C(O)C(O)C(OCc1ccc(-c2cccnc2)cc1)C(=O)NC(C(=O)NC)C(C)C)C(C)C
DB02576,CC(O)C[NH3+]
DB07164,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1
DB08682,CC1=C(C(=O)Nc2ccc(Cl)c(C(=O)OC(C)C)c2)SCCO1
DB00592,C1CNCCN1
DB00793,Clc1cc(Cl)c(OCC#CI)cc1Cl
DB04337,[C-]#[N+]C
DB00215,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
DB08485,O=C(O)C1(O)C=C(c2cccc(Sc3ccccc3)c2)C(O)C(O)C1
DB00466,C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C.CC(C)(O)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C
DB08805,CNC(=S)NCCSCc1nc[nH]c1C
DB00617,CCC1(C)OC(=O)N(C)C1=O
