CMPD_CHEMBLID;CANONICAL_SMILES;STANDARD_VALUE
CHEMBL78263;Nc1c(CCO)cccc1C(O)c2ccccc2;500000
CHEMBL306178;NC(=O)Cc1cccc(C(=O)c2ccc(Cl)cc2)c1N;1000000
CHEMBL288778;COC(=O)CCC(=O)Nc1cccc(OCc2ccc3ccccc3n2)c1;
CHEMBL109857;CN(C)CCNC1=NC(=O)\C(=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1;
CHEMBL131070;COC(=O)C1CN(C(=O)C1)c2cccc(OCc3ccc4ccccc4n3)c2;
CHEMBL122393;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2onc(CN3CCCC3)n2;
CHEMBL324626;CN(C)C1=NC(=O)\C(=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1;
CHEMBL122776;CC(=O)Nc1noc(n1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;
CHEMBL269685;CN1C(=O)N(C)c2nc3N(Cc4ccccc4)C(=C(CC=C)C(=O)n3c2C1=O)O;
CHEMBL162358;CCCc1c(O)c(ccc1OCCCCc2nnn[nH]2)C(=O)C;
CHEMBL87706;Oc1ccc(\C=C\2/SC(=O)NC2=O)cc1;
CHEMBL268717;CCCC1=C(O)N(Cc2ccccc2)c3nc4N(C)C(=O)N(C)C(=O)c4n3C1=O;
CHEMBL123101;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2onc(NC=O)n2;
CHEMBL131110;COC(=O)C1CN(C(=O)C1)c2cccc(OCc3nc4ccccc4s3)c2;
CHEMBL268515;CN1C(=O)N(C)c2nc3N(Cc4ccc(F)cc4)C(=C(CC#C)C(=O)n3c2C1=O)O;
CHEMBL304489;CC(C)(C)c1cc(\C=C/2\CCN(c3ccc(Cl)cc3)S2(=O)=O)cc(c1O)C(C)(C)C;1
CHEMBL65330;CC(C)(C)c1cc(\C=C\2/CCN(C(=O)NO)S2(=O)=O)cc(c1O)C(C)(C)C;24
CHEMBL264200;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)C(F)(F)F;50
CHEMBL35511;CC1C(=O)Oc2cc(C3CCCCC3)c(Cl)cc12;70
CHEMBL545288;Cl.CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2nsc(CN)n2;87
CHEMBL34649;Cc1cc2CC(=O)Oc2cc1C3CCCCC3;100
CHEMBL62101;Fc1ccc(NC(=O)C2C(=O)N3c4ccccc4Sc5cccc2c35)c(F)c1;200
CHEMBL177727;CCC(C#Cc1cc(c2ccc(C)cc2)n(n1)c3ccc(OC)cc3)N(O)C(=O)C;220
CHEMBL53610;Cc1ccc(Cl)c(Nc2ccccc2c3oc(NC#N)nn3)c1Cl;250
CHEMBL174976;COC(=O)N(O)CC#Cc1cc(c2ccc(C)cc2)n(n1)c3ccc(OC)cc3;280
CHEMBL331069;Cc1onc(n1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;300
CHEMBL149278;Cc1onc(\C=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)c1;300
CHEMBL64759;CC(C)(C)c1cc(\C=C\2/CCN(c3cccnc3)S2(=O)=O)cc(c1O)C(C)(C)C;320
CHEMBL113138;CC(C)(C)c1cc(\C=C\2/OC(=NC2=O)N=C(N)N)cc(c1O)C(C)(C)C.CS(=O)(=O)O;340
CHEMBL75896;[Na+].Nc1c(CC(=O)[O-])cccc1C(=O)C2CCCCC2;400
CHEMBL174684;COC(=O)N(O)C(C)C#Cc1cc(c2ccc(C)cc2)n(n1)c3ccc(OC)cc3;490
CHEMBL50833;Cc1cccc(Nc2ccccc2c3oc(S)nn3)c1C;610
CHEMBL418665;Cc1onc(NC(=O)C2C(=O)N3c4ccccc4Oc5cccc2c35)c1;700
CHEMBL49249;CN1C(=S)NC(=O)/C/1=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;790
CHEMBL410500;COc1ccc2c(c1)c(C(C)N(O)C(=O)N)c(C)n2C(=O)c3ccc(Cl)cc3;890
CHEMBL35129;Clc1cc2CC(=O)Oc2c(Cl)c1C3CCCCC3;1000
CHEMBL295829;COc1ccc2c(c1)c(CC(=O)NO)c(C)n2C(=O)c3ccc(Cl)cc3;1100
CHEMBL123459;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2onc(N)n2;1900
CHEMBL13184;CN1C(=O)N(C)c2nc3N(Cc4ccccc4)C(=C(CC=C(C)C)C(=O)n3c2C1=O)O;2000
CHEMBL18132;OC(=O)c1ccccc1Nc2cccc(OCc3ccc4ccccc4n3)c2;2000
CHEMBL64738;Fc1ccc2N3C(=O)C(C(=O)Nc4ccccn4)c5cc(F)cc(Cc2c1)c35;2200
CHEMBL113211;CC(C)(C)c1cc(\C=C\2/CC(=S)NC2=O)cc(c1O)C(C)(C)C;2400
CHEMBL64403;FC(F)(F)c1nnc(NC(=O)C2C(=O)N3c4ccccc4Cc5cccc2c35)s1;2400
CHEMBL64399;O=C(Nc1ccccc1)C2C(=O)N3c4ccccc4Cc5cccc2c35;2900
CHEMBL33959;CC(C)Cc1ccc2CC(=O)Oc2c1;3000
CHEMBL304647;Fc1ccc2N3C(=O)C(C(=O)Nc4nc(ns4)c5ccccc5)c6cccc(Cc2c1)c36;3300
CHEMBL276916;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2oc(S)nn2;3700
CHEMBL113908;C\C(=C/1\SC(=S)NC1=O)\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;4500
CHEMBL64422;O=C(Nc1ccccc1)C2C(=O)N3c4ccccc4CCc5cccc2c35;5100
CHEMBL93712;CC(C)(C)c1cc(Sc2nnc(NC#N)s2)cc(c1O)C(C)(C)C;6000
CHEMBL59748;Cc1onc(NC(=O)C2C(=O)N3c4ccc(F)cc4Cc5cccc2c35)c1;7200
CHEMBL123210;CCO\C=N\c1noc(n1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;7200
CHEMBL176200;CCOC(=O)CCC(=O)N(O)C(C)C#Cc1cc(c2ccc(C)cc2)n(n1)c3ccc(OC)cc3;10000
CHEMBL54453;CN(O)C(=O)Cc1ccc(OCc2ccccc2)cc1;10000
CHEMBL3144582;Clc1ncccc1CN2Nc3ccccc3C2=O;12000
CHEMBL62291;COc1cc2CCCN3C(=O)C(C(=O)Nc4nc5ccccc5s4)c(c1)c23;13000
CHEMBL302414;Fc1ccc2N3C(=O)C(C(=O)Nc4nncs4)c5cccc(Cc2c1)c35;14000
CHEMBL1984519;O=C1N(Cc2ccccc2)Nc3ccccc13;18000
CHEMBL65430;CC(C)Cc1ccc(cc1)C(C)C(=O)N(C)O;20000
CHEMBL303303;Fc1cc2CCCN3C(=O)C(C(=O)Nc4nc5ccccc5s4)c(c1)c23;30000
CHEMBL50;OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)c(O)c3;50000
CHEMBL91982;OC(=O)C(=CC=Cc1ccccc1)O;50000
CHEMBL50;OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)c(O)c3;50000
CHEMBL34578;Oc1cc2CC(=O)Oc2cc1c3ccccc3;50000
CHEMBL328432;CCOC(=O)C(=CC=C(N(C)C)C(=O)OCC)Sc1ccccc1;50000
CHEMBL262539;CCC(C#Cc1cc(c2ccc(Cl)cc2)n(n1)c3ccc(OC)cc3)N(O)C(=O)N;70400
CHEMBL1021;NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N;100000
CHEMBL284584;O=C1Cc2ccccc2O1;100000
CHEMBL557333;OC(=O)c1ccc2oc(Cn3ccnc3)c(Cl)c2c1;200000
CHEMBL77275;Nc1c(CCO)cccc1C(O)c2ccc(Cl)cc2;1000000
CHEMBL75445;Nc1c(cccc1C(=O)c2ccccc2)C(=O)CCC(=O)O;1000000
CHEMBL451236;OC(=O)Cc1cccc(C(=O)c2ccccc2)c1[N+](=O)[O-];1000000
CHEMBL8747;CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1;
CHEMBL79453;CONC(=O)Cc1cccc(OCc2ccc3ccccc3n2)c1;
CHEMBL13509;C\C=C\CC1=C(O)N(Cc2ccccc2)c3nc4N(C)C(=O)N(C)C(=O)c4n3C1=O;
CHEMBL13472;CCCC1=C(O)N(Cc2ccc(F)cc2)c3nc4N(C)C(=O)N(C)C(=O)c4n3C1=O;
CHEMBL127558;O=C1CCC(=O)N1c2cccc(OCc3ccc4ccccc4n3)c2;
CHEMBL538276;Cl.CC(=N)Nc1nc(ns1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;
CHEMBL13240;CN1C(=O)N(C)c2nc3N(Cc4ccccc4)C(=C(CC=C5CCCCC5)C(=O)n3c2C1=O)O;
CHEMBL131423;COC(=O)CCC(=O)Nc1cccc(OCc2oc3ccccc3c2)c1;
CHEMBL65759;CN(O)C(=O)CC1=C(C)\C(=C\c2ccc(cc2)[S+](C)[O-])\c3ccc(F)cc13;
CHEMBL62439;CC(C)(C)c1cc(\C=C\2/CCN(c3ccc(Cl)cc3)S2(=O)=O)cc(c1O)C(C)(C)C;1
CHEMBL305076;CCN1CC\C(=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1(=O)=O;2.1
CHEMBL331489;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2noc(S)n2;50
CHEMBL368682;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)C(C)C;90
CHEMBL64370;Cc1cnc(NC(=O)C2C(=O)N3c4ccc(F)cc4Cc5cc(F)cc2c35)s1;100
CHEMBL435759;[Na+].Nc1c(CC(=O)[O-])cccc1C(=O)c2ccccc2;100
CHEMBL876;[Na+].Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl;100
CHEMBL543650;Cl.CSC(=N)Nc1nc(ns1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;170
CHEMBL350729;FC(F)(F)c1cccc(Nc2ncccc2c3oc(S)nn3)c1;190
CHEMBL6;COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3;200
CHEMBL2111719;Cl.CN(O)C1=NC(=O)\C(=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1;330
